Pop,Species_current,Clade,Major_groups,easting,e_mins,e_secs,southing,s_mins,s_secs,Elevation
1588,E_ramosa_ramosa,Western ramosa,ramosa,19,10.77,,-33,49.901,,1449
1601,E_ramosa_aphylla,Aphylla,ramosa,18,55.868,,-34,20.778,,320
1601,E_ramosa_aphylla,Aphylla,ramosa,18,55.868,,-34,20.778,,320
1601,E_ramosa_aphylla,Aphylla,ramosa,18,55.868,,-34,20.778,,320
1601,E_ramosa_aphylla,Aphylla,ramosa,18,55.868,,-34,20.778,,320
1609,E_ramosa_aphylla,Western ramosa,ramosa,19,8.648,,-33,37.97,,1049
1609,E_ramosa_aphylla,Western ramosa,ramosa,19,8.648,,-33,37.97,,1049
1609,E_ramosa_aphylla,Western ramosa,ramosa,19,8.648,,-33,37.97,,1049
1609,E_ramosa_aphylla,Western ramosa,ramosa,19,8.648,,-33,37.97,,1049
1622,E_ramosa_aphylla,Western ramosa,ramosa,19,26.766,,-33,27.41,,1474
1622,E_ramosa_aphylla,Western ramosa,ramosa,19,26.766,,-33,27.41,,1474
1622,E_ramosa_aphylla,Western ramosa,ramosa,19,26.766,,-33,27.41,,1474
1622,E_ramosa_aphylla,Western ramosa,ramosa,19,26.766,,-33,27.41,,1474
1624,E_ramosa_ramosa,Western ramosa,ramosa,19,26.568,,-33,25.416,,635
1624,E_ramosa_ramosa,Western ramosa,ramosa,19,26.568,,-33,25.416,,635
1624,E_ramosa_ramosa,Western ramosa,ramosa,19,26.568,,-33,25.416,,635
1624,E_ramosa_ramosa,Western ramosa,ramosa,19,26.568,,-33,25.416,,635
1635,E_ramosa_ramosa,Eastern ramosa,ramosa,20,27.943,,-33,59.457,,520
1635,E_ramosa_ramosa,Eastern ramosa,ramosa,20,27.943,,-33,59.457,,520
1635,E_ramosa_ramosa,Eastern ramosa,ramosa,20,27.943,,-33,59.457,,520
1635,E_ramosa_ramosa,Eastern ramosa,ramosa,20,27.943,,-33,59.457,,520
1645,E_ramosa_ramosa,Eastern ramosa,ramosa,22,1.182,,-33,53.946,,673
1645,E_ramosa_ramosa,Eastern ramosa,ramosa,22,1.182,,-33,53.946,,673
1645,E_ramosa_ramosa,Eastern ramosa,ramosa,22,1.182,,-33,53.946,,673
1645,E_ramosa_ramosa,Eastern ramosa,ramosa,22,1.182,,-33,53.946,,673
1654,E_ramosa_ramosa,Eastern ramosa,ramosa,22,2.764,,-33,21.133,,1569
1654,E_ramosa_ramosa,Eastern ramosa,ramosa,22,2.764,,-33,21.133,,1569
1654,E_ramosa_ramosa,Eastern ramosa,ramosa,22,2.764,,-33,21.133,,1569
1654,E_ramosa_ramosa,Eastern ramosa,ramosa,22,2.764,,-33,21.133,,1569
1656,E_ramosa_ramosa,Eastern ramosa,ramosa,21,21.282,,-33,22.83,,1542
1656,E_ramosa_ramosa,Eastern ramosa,ramosa,21,21.282,,-33,22.83,,1542
1656,E_ramosa_ramosa,Eastern ramosa,ramosa,21,21.282,,-33,22.83,,1542
1656,E_ramosa_ramosa,Eastern ramosa,ramosa,21,21.282,,-33,22.83,,1542
